farmer_id,region,farm_size,enrollment_cohort,age,female,household_size,baseline_income_usd,baseline_food_security_score,baseline_farm_output_kg,treatment,group,endline_income_usd,endline_food_security_score,endline_farm_output_kg,income_change_usd,sessions_attended
FRM-0036,Central,Small (<1 ha),2023-Q1,23,1,7,164.92,4.86,50.0,0,Control,167.78,4.08,50.0,2.86,
FRM-0037,Central,Small (<1 ha),2023-Q1,25,0,5,53.47,5.99,182.7,1,Treatment,56.41,6.64,264.1,2.94,5.0
FRM-0038,North,Small (<1 ha),2024-Q1,53,1,3,73.51,6.98,180.9,1,Treatment,137.44,7.93,282.4,63.93,6.0
FRM-0039,South,Medium (1-3 ha),2024-Q1,24,0,4,124.65,5.12,440.8,1,Treatment,117.4,5.37,527.1,-7.25,6.0
FRM-0040,North,Large (>3 ha),2023-Q3,38,1,7,107.37,3.53,695.1,0,Control,110.6,3.05,746.0,3.23,
FRM-0041,Central,Small (<1 ha),2023-Q3,56,0,7,104.52,4.55,165.8,0,Control,124.38,4.23,146.4,19.86,
FRM-0042,Central,Small (<1 ha),2024-Q1,60,0,8,114.91,4.58,222.9,1,Treatment,172.98,4.88,252.3,58.07,4.0
FRM-0043,Central,Small (<1 ha),2023-Q3,37,0,6,163.0,5.45,145.7,1,Treatment,170.76,6.95,235.1,7.76,5.0
FRM-0044,South,Small (<1 ha),2024-Q3,42,0,7,159.12,2.25,307.9,1,Treatment,180.42,3.08,420.3,21.3,5.0
FRM-0045,South,Small (<1 ha),2023-Q1,40,0,4,120.69,2.31,220.1,1,Treatment,138.48,3.5,365.7,17.79,3.0
FRM-0046,North,Large (>3 ha),2024-Q1,62,1,7,213.36,6.23,631.1,0,Control,190.31,8.08,627.0,-23.05,
FRM-0047,Central,Small (<1 ha),2023-Q1,44,0,8,87.02,5.39,223.9,1,Treatment,118.56,6.5,351.5,31.54,4.0
FRM-0048,North,Large (>3 ha),2024-Q1,23,0,2,195.12,3.68,620.1,0,Control,216.12,3.53,567.8,21.0,
FRM-0049,Central,Small (<1 ha),2023-Q3,53,0,7,129.67,2.39,172.6,1,Treatment,189.83,3.62,300.7,60.16,3.0
FRM-0050,North,Large (>3 ha),2023-Q3,55,0,7,107.9,6.33,578.6,1,Treatment,67.72,7.81,667.5,-40.18,5.0
FRM-0051,Central,Medium (1-3 ha),2024-Q3,63,1,2,115.17,3.21,312.6,1,Treatment,125.64,3.77,542.6,10.47,5.0
FRM-0052,North,Large (>3 ha),2024-Q3,39,1,2,190.88,5.4,486.6,0,Control,197.6,4.94,640.8,6.72,
FRM-0053,Central,Large (>3 ha),2023-Q3,49,1,2,125.82,3.63,649.1,1,Treatment,105.55,4.52,770.3,-20.27,6.0
FRM-0054,North,Small (<1 ha),2023-Q1,55,0,7,110.48,4.65,172.5,0,Control,59.58,4.75,160.1,-50.9,
FRM-0055,Central,Medium (1-3 ha),2023-Q3,47,0,5,119.88,6.84,241.7,1,Treatment,127.21,7.38,263.6,7.33,5.0
FRM-0056,Central,Large (>3 ha),2023-Q3,56,0,4,151.34,4.96,718.7,1,Treatment,179.4,5.12,786.3,28.06,4.0
FRM-0057,South,Small (<1 ha),2024-Q3,56,0,3,141.01,2.3,237.6,1,Treatment,164.91,3.02,295.3,23.9,3.0
FRM-0058,Central,Medium (1-3 ha),2024-Q1,25,1,8,193.08,4.6,306.1,1,Treatment,196.77,5.14,451.0,3.69,2.0
FRM-0059,South,Small (<1 ha),2023-Q3,42,1,2,102.83,5.68,50.0,0,Control,129.08,5.66,50.0,26.25,
FRM-0060,South,Large (>3 ha),2023-Q1,55,1,4,186.97,4.8,505.2,0,Control,205.66,4.61,545.7,18.69,
FRM-0061,South,Medium (1-3 ha),2024-Q1,63,1,7,154.91,3.13,434.8,0,Control,170.69,3.08,501.1,15.78,
FRM-0062,North,Medium (1-3 ha),2023-Q1,43,1,3,134.6,5.04,180.5,1,Treatment,146.3,6.15,280.9,11.7,4.0
FRM-0063,South,Small (<1 ha),2023-Q3,55,0,4,141.69,3.71,357.1,1,Treatment,97.89,3.9,536.8,-43.8,4.0
FRM-0064,Central,Small (<1 ha),2023-Q1,49,0,6,99.01,5.64,50.0,1,Treatment,111.71,6.92,97.1,12.7,4.0
FRM-0065,North,Medium (1-3 ha),2023-Q1,22,0,5,64.22,3.66,297.8,0,Control,49.5,2.92,338.4,-14.72,
FRM-0066,South,Small (<1 ha),2023-Q3,44,1,5,57.17,5.85,204.7,0,Control,65.7,6.8,168.4,8.53,
FRM-0067,South,Small (<1 ha),2023-Q3,23,0,4,88.8,2.41,329.2,1,Treatment,115.64,3.42,446.2,26.84,6.0
FRM-0068,Central,Medium (1-3 ha),2023-Q3,55,0,2,175.15,2.21,406.1,0,Control,171.16,1.47,405.2,-3.99,
FRM-0069,Central,Large (>3 ha),2024-Q3,56,0,3,177.31,5.49,560.4,0,Control,150.14,5.22,681.3,-27.17,
FRM-0070,Central,Small (<1 ha),2024-Q1,43,1,5,97.51,6.63,177.2,1,Treatment,130.81,7.73,288.8,33.3,5.0
FRM-0071,North,Medium (1-3 ha),2023-Q1,49,1,5,152.18,2.26,381.5,1,Treatment,187.9,3.09,504.1,35.72,3.0
FRM-0072,North,Small (<1 ha),2023-Q1,59,0,2,44.27,4.8,271.5,0,Control,53.6,3.69,225.6,9.33,
FRM-0073,Central,Large (>3 ha),2024-Q1,25,1,7,138.09,2.15,616.1,0,Control,120.49,1.81,599.1,-17.6,
FRM-0074,South,Small (<1 ha),2024-Q3,30,1,4,84.34,2.4,266.9,1,Treatment,151.07,3.0,463.8,66.73,4.0
FRM-0075,Central,Large (>3 ha),2023-Q1,44,1,7,192.42,2.29,663.1,0,Control,159.97,1.7,653.6,-32.45,
FRM-0076,South,Medium (1-3 ha),2023-Q1,33,0,5,190.03,5.97,375.9,1,Treatment,199.84,6.99,424.7,9.81,4.0
FRM-0077,Central,Small (<1 ha),2024-Q3,36,1,7,135.87,3.46,214.2,1,Treatment,130.87,4.46,325.5,-5.0,5.0
FRM-0078,Central,Small (<1 ha),2023-Q3,46,0,7,85.72,5.85,178.2,0,Control,81.92,5.85,136.6,-3.8,
FRM-0079,Central,Small (<1 ha),2024-Q1,26,1,8,131.28,2.68,197.6,1,Treatment,156.08,2.2,379.5,24.8,3.0
FRM-0080,North,Large (>3 ha),2023-Q1,58,0,4,134.76,6.35,496.1,1,Treatment,185.62,7.39,592.6,50.86,5.0
FRM-0081,South,Medium (1-3 ha),2024-Q1,47,0,7,128.95,4.36,293.9,1,Treatment,164.3,4.66,411.3,35.35,4.0
FRM-0082,South,Small (<1 ha),2024-Q3,59,0,7,118.7,6.07,168.1,0,Control,84.23,5.69,191.8,-34.47,
FRM-0083,Central,Medium (1-3 ha),2023-Q1,29,0,3,162.58,2.61,344.3,1,Treatment,129.32,3.17,360.2,-33.26,3.0
FRM-0084,North,Large (>3 ha),2024-Q3,28,0,7,110.3,3.03,515.6,1,Treatment,145.15,4.42,637.4,34.85,4.0
FRM-0085,North,Large (>3 ha),2024-Q3,49,0,4,95.81,5.68,625.5,0,Control,82.83,5.97,571.1,-12.98,
FRM-0086,Central,Large (>3 ha),2024-Q3,52,1,2,126.94,4.17,470.8,0,Control,102.42,3.5,412.7,-24.52,
FRM-0087,South,Small (<1 ha),2023-Q1,60,0,7,20.0,6.92,171.3,1,Treatment,20.96,7.38,268.0,0.96,4.0
FRM-0088,North,Small (<1 ha),2023-Q1,37,1,5,79.5,4.83,177.8,0,Control,58.89,3.9,131.4,-20.61,
FRM-0089,North,Small (<1 ha),2024-Q1,35,0,5,104.85,6.89,174.0,1,Treatment,135.66,7.76,377.6,30.81,4.0
FRM-0090,North,Medium (1-3 ha),2024-Q3,36,0,3,55.77,5.15,354.4,1,Treatment,79.34,6.14,434.7,23.57,4.0
FRM-0091,North,Medium (1-3 ha),2024-Q1,63,1,2,120.9,2.23,320.8,0,Control,170.46,2.93,401.5,49.56,
FRM-0092,Central,Small (<1 ha),2024-Q1,56,0,5,96.63,3.88,105.5,0,Control,188.08,4.4,164.1,91.45,
FRM-0093,South,Small (<1 ha),2024-Q1,40,0,8,137.54,4.21,247.1,1,Treatment,142.37,4.29,342.4,4.83,3.0
FRM-0094,North,Large (>3 ha),2023-Q3,26,0,5,150.91,6.3,596.3,0,Control,187.43,7.14,581.5,36.52,
FRM-0095,South,Large (>3 ha),2024-Q3,24,0,2,175.43,6.09,606.5,0,Control,123.71,5.34,574.1,-51.72,
FRM-0096,South,Small (<1 ha),2023-Q1,61,1,3,160.13,2.11,75.4,1,Treatment,181.51,3.08,116.1,21.38,5.0
FRM-0097,South,Small (<1 ha),2024-Q1,32,1,4,114.96,3.32,172.5,1,Treatment,65.98,2.85,278.9,-48.98,4.0
FRM-0098,North,Medium (1-3 ha),2023-Q3,54,1,5,106.2,3.58,426.1,1,Treatment,111.54,3.76,567.3,5.34,5.0
FRM-0099,North,Medium (1-3 ha),2024-Q3,55,1,4,134.9,3.97,364.5,0,Control,166.71,3.84,322.9,31.81,
FRM-0100,North,Small (<1 ha),2024-Q1,59,0,7,159.39,5.56,206.0,0,Control,211.47,6.5,202.0,52.08,
FRM-0101,South,Small (<1 ha),2023-Q3,51,1,6,72.18,4.7,206.2,0,Control,68.57,4.98,193.1,-3.61,
FRM-0102,South,Small (<1 ha),2023-Q3,44,0,4,88.83,5.61,73.3,1,Treatment,131.66,5.33,208.2,42.83,5.0
FRM-0103,South,Small (<1 ha),2024-Q1,43,1,4,120.44,6.3,161.3,0,Control,170.15,6.39,229.8,49.71,
FRM-0104,North,Large (>3 ha),2023-Q3,51,0,2,109.35,5.96,569.6,1,Treatment,178.87,7.03,620.4,69.52,4.0
FRM-0105,South,Small (<1 ha),2024-Q1,36,0,6,148.44,4.28,124.3,1,Treatment,158.44,5.53,269.8,10.0,5.0
FRM-0106,Central,Medium (1-3 ha),2024-Q1,42,0,7,163.5,3.27,357.9,0,Control,213.35,3.11,388.8,49.85,
FRM-0107,Central,Medium (1-3 ha),2023-Q3,50,1,2,173.39,4.08,355.9,0,Control,143.18,4.04,322.9,-30.21,
FRM-0108,Central,Small (<1 ha),2024-Q3,25,1,4,85.89,4.33,222.4,0,Control,49.84,3.63,276.1,-36.05,
FRM-0109,North,Large (>3 ha),2024-Q1,64,0,7,136.72,2.22,502.3,1,Treatment,72.35,2.62,424.8,-64.37,4.0
FRM-0110,North,Medium (1-3 ha),2024-Q1,23,0,3,136.26,4.66,316.0,0,Control,180.41,4.94,325.8,44.15,
FRM-0111,South,Medium (1-3 ha),2024-Q3,64,0,2,182.33,6.96,387.4,1,Treatment,177.81,8.18,502.7,-4.52,5.0
FRM-0112,Central,Small (<1 ha),2024-Q1,57,1,7,27.5,5.64,422.9,0,Control,56.99,5.1,433.1,29.49,
FRM-0113,North,Medium (1-3 ha),2024-Q3,54,0,7,192.73,5.49,483.8,1,Treatment,218.37,6.56,501.5,25.64,5.0
FRM-0114,North,Small (<1 ha),2024-Q1,39,0,3,106.67,5.55,128.0,0,Control,118.72,4.43,50.0,12.05,
FRM-0115,Central,Large (>3 ha),2023-Q3,22,1,7,146.45,5.55,609.4,1,Treatment,211.35,5.35,695.9,64.9,6.0
FRM-0116,Central,Large (>3 ha),2023-Q1,46,0,8,168.94,6.2,642.7,1,Treatment,169.92,6.46,691.1,0.98,5.0
FRM-0117,South,Small (<1 ha),2024-Q1,45,0,2,109.32,2.26,215.6,1,Treatment,151.33,3.29,311.4,42.01,4.0
FRM-0118,North,Medium (1-3 ha),2024-Q3,38,0,3,76.74,3.48,279.2,0,Control,20.0,3.04,319.1,-56.74,
FRM-0119,South,Small (<1 ha),2024-Q1,28,1,2,139.63,5.3,242.6,0,Control,130.01,4.95,278.2,-9.62,
FRM-0120,Central,Large (>3 ha),2023-Q1,46,0,8,123.57,4.01,647.7,1,Treatment,132.46,4.78,726.0,8.89,4.0
FRM-0121,North,Medium (1-3 ha),2024-Q1,57,0,7,103.98,2.53,353.5,1,Treatment,138.98,4.2,535.9,35.0,5.0
FRM-0122,Central,Small (<1 ha),2024-Q1,57,1,6,91.84,3.57,110.8,0,Control,162.03,3.75,174.2,70.19,
FRM-0123,Central,Large (>3 ha),2023-Q1,54,1,6,161.72,3.5,607.0,0,Control,82.93,3.65,677.3,-78.79,
FRM-0124,Central,Small (<1 ha),2023-Q3,39,0,8,167.28,2.37,314.1,1,Treatment,140.3,3.03,375.0,-26.98,5.0
FRM-0125,North,Medium (1-3 ha),2023-Q3,34,1,2,23.43,2.91,448.6,0,Control,43.2,3.45,528.5,19.77,
FRM-0126,South,Small (<1 ha),2023-Q1,22,1,8,129.69,6.3,347.8,0,Control,164.18,5.94,280.7,34.49,
FRM-0127,South,Medium (1-3 ha),2024-Q3,60,0,4,143.07,5.32,284.0,0,Control,156.5,5.96,281.1,13.43,
FRM-0128,Central,Large (>3 ha),2023-Q3,42,1,8,133.56,5.57,625.2,1,Treatment,140.92,6.49,723.0,7.36,6.0
FRM-0129,South,Medium (1-3 ha),2024-Q1,43,0,8,172.0,2.59,347.6,1,Treatment,111.67,3.31,505.5,-60.33,5.0
FRM-0130,North,Small (<1 ha),2023-Q3,29,1,5,138.79,2.56,93.8,0,Control,196.38,1.95,143.2,57.59,
FRM-0131,South,Small (<1 ha),2024-Q1,25,0,7,114.61,6.45,175.0,0,Control,104.28,5.83,332.4,-10.33,
FRM-0132,Central,Small (<1 ha),2024-Q1,42,0,5,108.74,6.92,142.1,0,Control,100.97,8.67,120.2,-7.77,
FRM-0133,South,Small (<1 ha),2024-Q1,51,0,5,127.29,4.84,225.4,0,Control,47.97,4.56,287.0,-79.32,
FRM-0134,North,Medium (1-3 ha),2024-Q1,58,1,5,110.1,5.19,357.4,1,Treatment,93.54,6.15,335.1,-16.56,5.0
FRM-0135,South,Small (<1 ha),2023-Q3,23,0,5,118.99,5.31,259.6,0,Control,131.3,4.52,370.6,12.31,
FRM-0136,Central,Medium (1-3 ha),2023-Q1,27,0,5,148.66,4.11,353.9,1,Treatment,161.75,3.78,440.5,13.09,3.0
FRM-0137,South,Medium (1-3 ha),2024-Q3,37,1,6,143.15,3.24,434.1,0,Control,146.74,3.87,434.7,3.59,
FRM-0138,South,Medium (1-3 ha),2024-Q3,63,0,6,131.74,3.09,451.0,0,Control,252.95,3.3,422.2,121.21,
FRM-0139,North,Medium (1-3 ha),2024-Q1,53,1,4,128.02,2.36,259.0,1,Treatment,103.96,2.89,335.5,-24.06,4.0
FRM-0140,South,Medium (1-3 ha),2023-Q1,49,1,8,174.9,2.5,310.3,0,Control,174.7,1.41,362.6,-0.2,
FRM-0141,South,Small (<1 ha),2024-Q3,38,0,7,159.06,5.1,340.3,1,Treatment,207.16,6.3,463.6,48.1,4.0
FRM-0142,Central,Small (<1 ha),2024-Q1,26,0,4,24.77,6.36,202.4,0,Control,20.0,5.66,260.5,-4.77,
FRM-0143,North,Small (<1 ha),2024-Q1,39,0,6,55.83,4.46,233.3,0,Control,81.83,4.76,191.3,26.0,
FRM-0144,Central,Small (<1 ha),2024-Q1,49,0,3,130.94,5.39,251.3,0,Control,123.31,5.49,217.0,-7.63,
FRM-0145,South,Medium (1-3 ha),2024-Q1,34,1,2,105.7,3.52,463.1,1,Treatment,121.85,4.31,589.1,16.15,5.0
FRM-0146,North,Small (<1 ha),2023-Q1,50,0,6,100.75,2.62,310.2,0,Control,114.61,2.84,405.2,13.86,
FRM-0147,South,Small (<1 ha),2023-Q3,41,0,8,178.8,5.7,227.6,1,Treatment,242.64,6.65,371.4,63.84,4.0
FRM-0148,South,Large (>3 ha),2023-Q3,39,1,6,193.68,5.96,490.9,0,Control,208.29,6.79,463.3,14.61,
FRM-0149,North,Small (<1 ha),2023-Q3,40,0,2,116.63,5.75,305.1,0,Control,155.04,5.37,277.3,38.41,
FRM-0150,South,Small (<1 ha),2023-Q1,42,0,8,72.41,5.84,176.4,1,Treatment,80.07,6.67,223.5,7.66,6.0
FRM-0151,North,Small (<1 ha),2023-Q3,29,0,3,76.8,2.22,279.5,1,Treatment,46.89,2.63,456.4,-29.91,4.0
FRM-0152,North,Large (>3 ha),2023-Q1,23,1,5,110.99,5.0,398.4,0,Control,115.84,5.82,394.3,4.85,
FRM-0153,North,Small (<1 ha),2023-Q3,39,0,6,31.9,5.25,149.8,1,Treatment,74.18,7.23,313.4,42.28,4.0
FRM-0154,South,Small (<1 ha),2023-Q3,41,0,3,79.12,4.26,233.3,1,Treatment,94.81,5.05,404.5,15.69,5.0
FRM-0155,North,Large (>3 ha),2023-Q3,38,0,6,150.75,2.36,491.1,0,Control,222.55,1.84,548.2,71.8,
FRM-0156,South,Large (>3 ha),2024-Q3,41,0,4,189.56,5.28,814.2,0,Control,181.76,5.88,938.9,-7.8,
FRM-0157,North,Medium (1-3 ha),2024-Q3,37,0,6,57.5,2.59,363.6,1,Treatment,82.52,2.89,447.3,25.02,4.0
FRM-0158,Central,Medium (1-3 ha),2024-Q1,55,1,4,131.63,5.7,346.3,1,Treatment,176.45,7.27,439.8,44.82,6.0
FRM-0159,Central,Medium (1-3 ha),2024-Q3,38,0,7,68.71,5.25,438.5,0,Control,108.6,5.82,527.2,39.89,
FRM-0160,North,Medium (1-3 ha),2023-Q1,61,0,4,100.0,6.41,363.7,1,Treatment,75.57,7.16,351.0,-24.43,5.0
FRM-0161,South,Small (<1 ha),2023-Q1,54,0,7,102.81,2.74,404.5,0,Control,129.63,3.44,352.3,26.82,
FRM-0162,Central,Small (<1 ha),2024-Q3,55,0,7,143.13,4.08,72.1,0,Control,150.19,4.56,50.0,7.06,
FRM-0163,North,Medium (1-3 ha),2023-Q3,22,0,8,71.73,6.6,239.8,1,Treatment,133.65,6.99,311.5,61.92,4.0
FRM-0164,Central,Medium (1-3 ha),2023-Q1,34,0,5,107.45,5.81,353.9,1,Treatment,97.72,6.73,498.4,-9.73,5.0
FRM-0165,South,Small (<1 ha),2024-Q3,48,1,5,191.55,2.78,59.3,0,Control,200.3,3.3,50.0,8.75,
FRM-0166,North,Small (<1 ha),2023-Q3,57,0,7,32.67,2.07,168.8,1,Treatment,64.85,4.15,209.3,32.18,5.0
FRM-0167,South,Small (<1 ha),2024-Q1,32,0,6,57.49,5.69,168.9,1,Treatment,105.57,5.46,223.8,48.08,5.0
FRM-0168,South,Small (<1 ha),2024-Q1,40,0,8,120.71,3.7,315.5,0,Control,65.12,4.67,296.8,-55.59,
FRM-0169,North,Medium (1-3 ha),2023-Q1,31,0,7,140.0,6.29,494.3,1,Treatment,138.46,7.05,616.8,-1.54,5.0
FRM-0170,North,Small (<1 ha),2024-Q3,55,0,8,102.96,3.61,143.5,0,Control,121.89,4.18,60.6,18.93,
FRM-0171,South,Large (>3 ha),2023-Q3,47,1,8,135.66,3.95,544.8,1,Treatment,189.28,4.76,593.3,53.62,4.0
FRM-0172,North,Small (<1 ha),2023-Q1,26,0,6,101.75,6.75,294.8,1,Treatment,81.35,8.26,311.9,-20.4,5.0
FRM-0173,Central,Small (<1 ha),2024-Q3,55,1,4,120.87,2.45,226.9,1,Treatment,205.76,2.98,352.0,84.89,5.0
FRM-0174,North,Large (>3 ha),2024-Q1,47,0,4,244.21,4.57,526.7,1,Treatment,231.66,6.52,597.1,-12.55,4.0
FRM-0175,South,Medium (1-3 ha),2023-Q1,36,1,3,188.35,4.66,318.3,1,Treatment,156.92,4.91,415.0,-31.43,5.0
FRM-0176,Central,Large (>3 ha),2023-Q1,40,0,4,120.62,4.94,607.1,1,Treatment,126.37,5.27,635.9,5.75,5.0
FRM-0177,North,Small (<1 ha),2023-Q3,47,0,2,36.75,5.95,244.8,0,Control,20.0,5.99,329.7,-16.75,
FRM-0178,South,Small (<1 ha),2023-Q3,47,0,2,78.34,6.35,275.6,1,Treatment,90.55,6.92,352.1,12.21,4.0
FRM-0179,South,Large (>3 ha),2023-Q1,34,0,6,199.04,3.94,525.8,1,Treatment,227.44,5.66,552.3,28.4,6.0
FRM-0180,South,Small (<1 ha),2023-Q1,29,0,8,117.55,6.39,177.0,1,Treatment,176.93,7.04,244.7,59.38,5.0
FRM-0181,North,Small (<1 ha),2024-Q1,38,1,7,171.91,6.14,115.9,1,Treatment,151.63,7.07,276.6,-20.28,5.0
FRM-0182,North,Small (<1 ha),2023-Q1,60,1,6,60.24,3.15,157.3,0,Control,38.16,3.84,182.0,-22.08,
FRM-0183,South,Small (<1 ha),2023-Q1,29,0,7,63.79,2.42,100.0,1,Treatment,82.38,2.99,263.2,18.59,6.0
FRM-0184,North,Medium (1-3 ha),2023-Q1,23,0,4,20.0,6.53,430.4,0,Control,20.0,6.58,337.1,0.0,
FRM-0185,South,Medium (1-3 ha),2023-Q3,54,0,8,165.47,2.45,312.4,1,Treatment,208.22,3.22,467.5,42.75,5.0
FRM-0186,Central,Medium (1-3 ha),2023-Q1,52,1,6,188.18,2.32,224.8,1,Treatment,154.46,3.38,330.9,-33.72,5.0
FRM-0187,Central,Small (<1 ha),2024-Q1,42,1,5,117.52,4.32,212.1,1,Treatment,149.65,5.46,372.4,32.13,6.0
FRM-0188,North,Small (<1 ha),2024-Q1,33,0,5,81.52,5.17,50.0,0,Control,47.79,5.13,50.0,-33.73,
FRM-0189,Central,Large (>3 ha),2024-Q3,59,0,3,142.55,4.42,654.1,1,Treatment,173.39,4.58,708.1,30.84,6.0
FRM-0190,Central,Small (<1 ha),2024-Q3,25,0,6,20.0,6.4,233.7,1,Treatment,43.93,6.82,336.8,23.93,5.0
FRM-0191,North,Small (<1 ha),2023-Q3,27,0,6,137.4,4.7,123.6,1,Treatment,167.94,4.82,317.4,30.54,4.0
FRM-0192,South,Small (<1 ha),2023-Q1,30,1,8,73.55,4.3,180.6,0,Control,51.99,3.45,297.3,-21.56,
FRM-0193,Central,Small (<1 ha),2023-Q3,62,0,4,96.95,6.85,136.1,1,Treatment,135.68,6.77,237.1,38.73,6.0
FRM-0194,Central,Small (<1 ha),2024-Q3,27,0,2,88.81,6.44,286.8,1,Treatment,164.72,7.74,319.3,75.91,6.0
FRM-0195,Central,Medium (1-3 ha),2024-Q3,29,1,7,203.25,6.87,230.6,0,Control,251.07,6.22,309.6,47.82,
FRM-0196,Central,Medium (1-3 ha),2023-Q3,63,1,7,140.64,5.43,439.5,1,Treatment,169.65,6.25,418.9,29.01,6.0
FRM-0197,South,Medium (1-3 ha),2023-Q3,23,1,3,160.32,3.09,378.7,0,Control,187.23,3.33,518.8,26.91,
FRM-0198,North,Small (<1 ha),2024-Q1,36,1,7,115.25,3.02,154.6,0,Control,82.82,3.76,104.1,-32.43,
FRM-0199,North,Small (<1 ha),2023-Q3,42,0,5,80.94,6.9,125.2,0,Control,108.87,6.27,103.4,27.93,
FRM-0200,North,Medium (1-3 ha),2024-Q3,55,1,6,165.04,2.39,220.8,1,Treatment,223.76,3.57,206.1,58.72,3.0
